		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000000001  254  242  248  242  262  238  246  277  4.887410 0.769539 SUCCESS   0
000000011  259  238  249  238  258  269  243  289  9.790457 0.280042 SUCCESS   1
000000101  239  273  229  215  256  209  251  250 16.680089 0.033618 SUCCESS   2
000000111  251  234  243  268  259  266  259  287 10.008703 0.264416 SUCCESS   3
000001001  270  252  241  249  244  240  249  246  2.642626 0.954748 SUCCESS   4
000001011  232  284  246  220  252  231  242  266 12.743766 0.120975 SUCCESS   5
000001101  233  228  256  249  243  252  221  260  7.456331 0.488290 SUCCESS   6
000001111  224  233  255  263  248  279  257  277 11.514836 0.174198 SUCCESS   7
000010001  268  256  211  237  243  246  214  230 15.755257 0.046020 SUCCESS   8
000010011  269  252  250  259  246  237  248  234  3.685762 0.884304 SUCCESS   9
000010101  260  267  234  238  246  275  228  241  8.252646 0.409188 SUCCESS  10
000010111  228  245  245  238  257  249  262  268  4.947273 0.763197 SUCCESS  11
000011001  272  258  247  245  238  255  252  238  3.720154 0.881449 SUCCESS  12
000011011  256  239  247  237  255  249  231  241  3.316501 0.912955 SUCCESS  13
000011101  231  250  245  251  251  265  267  252  3.750020 0.878944 SUCCESS  14
000011111  209  230  244  269  259  286  256  271 17.926214 0.021787 SUCCESS  15
000100011  273  251  249  232  247  256  226  253  6.142327 0.631293 SUCCESS  16
000100101  266  234  249  260  264  266  273  253  6.640622 0.575855 SUCCESS  17
000100111  264  266  254  247  235  248  258  245  3.291418 0.914761 SUCCESS  18
000101001  261  241  253  264  230  243  265  266  5.534651 0.699198 SUCCESS  19
000101011  232  284  248  228  241  260  221  233 13.559604 0.093991 SUCCESS  20
000101101  261  232  233  233  258  259  251  266  5.894861 0.659008 SUCCESS  21
